MusicAptitudeScores,MusicPerceptionScores
-0.45,-0.67
0.35,0.31
-0.41,-0.25
-0.29,-0.24
-0.16,-0.02
0.1,0.08
-0.02,-0.14
-0.07,-0.11
0.24,0.1
0.23,0.1
-0.38,-0.31
0.09,0.05
-0.26,-0.11
-0.08,-0.13
0.3,0.3
0.14,0.06
-0.06,0.06
-0.1,-0.17
0.06,0.08
0.11,-0.01
-0.07,-0.06
0.18,0.2
0.14,0.08
0.05,0.04
0.13,0.14
0.01,0.06
0.18,-0.01
-0.1,-0.03
0.53,0.53
-0.05,-0.04
-0.2,-0.11
-0.12,-0.02
-0.13,-0.02
-0.27,-0.15
-0.24,-0.11
0.17,0.09
-0.07,-0.05
0.13,-0.02
0.14,0.07
-0.16,-0.25
-0.08,-0.11
0.38,0.27
-0.19,-0.2
-0.11,-0.07
-0.15,-0.2
-0.06,-0.05
0.18,0.08
-0.02,0.03
0.04,-0.04
-0.16,-0.12
0.08,0.12
0.02,0.14
0.44,0.26
0.16,0.1
-0.2,-0.18
-0.12,-0.16
0.12,0.1
-0.25,-0.14
-0.3,-0.12
-0.29,-0.24
0.01,0.02
-0.22,-0.13
-0.17,-0.18
-0.08,-0.05
-0.04,-0.1
0.08,-0.02
0.05,0.08
-0.05,0.01
0,-0.02
0.47,0.31
0.11,0.2
0.07,0.11
0.38,0.37
0.07,0.03
0.62,0.37
0.12,0.13
-0.1,-0.06
-0.03,0.09
-0.13,-0.05
0.06,-0.01
-0.36,-0.27
0.16,0.16
0.51,0.45
0.4,0.34
0.21,0.07
0.07,-0.02
0.39,0.19
0.02,0.13
0.32,0.3
0.29,0.17
0.15,0.15
-0.31,-0.29
-0.01,0.02
0.07,0.18
0.33,0.36
0,-0.13
-0.04,-0.03
-0.07,-0.19
0.02,-0.05
0.12,0.05
0.1,-0.02
0.08,0.17
-0.2,-0.14
-0.19,-0.15
0.17,0.2
-0.05,-0.03
-0.29,-0.11
-0.15,-0.04
0.02,-0.03
0.25,0.19
-0.02,-0.11
0.23,0.21
0.05,0.06
-0.08,-0.05
-0.16,-0.08
0.15,0.1
-0.21,-0.11
0.3,0.22
-0.25,-0.21
0.11,0.04
-0.12,-0.19
-0.05,-0.02
-0.24,-0.18
-0.31,-0.27
0.09,0.11
-0.04,-0.15
0.33,0.28
-0.09,-0.14
-0.35,-0.33
-0.06,-0.15
-0.17,-0.14
-0.39,-0.16
0.01,-0.04
-0.17,-0.09
0.04,0
0.02,0.08
-0.12,-0.1
0.08,0.1
-0.11,-0.08
-0.02,0.02
-0.36,-0.25
-0.08,-0.09
-0.23,-0.12
0.21,0.19
0.31,0.28
0.14,0.16
-0.08,-0.19
-0.11,0.02
-0.14,-0.13
-0.35,-0.23
