Participant_ID,MusicAptitudeScores,MusicPerceptionScores
1,-0.45,-0.67
2,0.35,0.31
3,-0.41,-0.25
4,-0.29,-0.24
5,-0.16,-0.02
6,0.1,0.08
7,-0.02,-0.14
8,-0.07,-0.11
9,0.24,0.1
10,0.23,0.1
11,-0.38,-0.31
12,0.09,0.05
13,-0.26,-0.11
14,-0.08,-0.13
15,0.3,0.3
16,0.14,0.06
17,-0.06,0.06
18,-0.1,-0.17
19,0.06,0.08
20,0.11,-0.01
21,-0.07,-0.06
22,0.18,0.2
23,0.14,0.08
24,0.05,0.04
25,0.13,0.14
26,0.01,0.06
27,0.18,-0.01
28,-0.1,-0.03
29,0.53,0.53
30,-0.05,-0.04
31,-0.2,-0.11
32,-0.12,-0.02
33,-0.13,-0.02
34,-0.27,-0.15
35,-0.24,-0.11
36,0.17,0.09
37,-0.07,-0.05
38,0.13,-0.02
39,0.14,0.07
40,-0.16,-0.25
41,-0.08,-0.11
42,0.38,0.27
43,-0.19,-0.2
44,-0.11,-0.07
45,-0.15,-0.2
46,-0.06,-0.05
47,0.18,0.08
48,-0.02,0.03
49,0.04,-0.04
50,-0.16,-0.12
51,0.08,0.12
52,0.02,0.14
53,0.44,0.26
54,0.16,0.1
55,-0.2,-0.18
56,-0.12,-0.16
57,0.12,0.1
58,-0.25,-0.14
59,-0.3,-0.12
60,-0.29,-0.24
61,0.01,0.02
62,-0.22,-0.13
63,-0.17,-0.18
64,-0.08,-0.05
65,-0.04,-0.1
66,0.08,-0.02
67,0.05,0.08
68,-0.05,0.01
69,0,-0.02
70,0.47,0.31
71,0.11,0.2
72,0.07,0.11
73,0.38,0.37
74,0.07,0.03
75,0.62,0.37
76,0.12,0.13
77,-0.1,-0.06
78,-0.03,0.09
79,-0.13,-0.05
80,0.06,-0.01
81,-0.36,-0.27
82,0.16,0.16
83,0.51,0.45
84,0.4,0.34
85,0.21,0.07
86,0.07,-0.02
87,0.39,0.19
88,0.02,0.13
89,0.32,0.3
90,0.29,0.17
91,0.15,0.15
92,-0.31,-0.29
93,-0.01,0.02
94,0.07,0.18
95,0.33,0.36
96,0,-0.13
97,-0.04,-0.03
98,-0.07,-0.19
99,0.02,-0.05
100,0.12,0.05
101,0.1,-0.02
102,0.08,0.17
103,-0.2,-0.14
104,-0.19,-0.15
105,0.17,0.2
106,-0.05,-0.03
107,-0.29,-0.11
108,-0.15,-0.04
109,0.02,-0.03
110,0.25,0.19
111,-0.02,-0.11
112,0.23,0.21
113,0.05,0.06
114,-0.08,-0.05
115,-0.16,-0.08
116,0.15,0.1
117,-0.21,-0.11
118,0.3,0.22
119,-0.25,-0.21
120,0.11,0.04
121,-0.12,-0.19
122,-0.05,-0.02
123,-0.24,-0.18
124,-0.31,-0.27
125,0.09,0.11
126,-0.04,-0.15
127,0.33,0.28
128,-0.09,-0.14
129,-0.35,-0.33
130,-0.06,-0.15
131,-0.17,-0.14
132,-0.39,-0.16
133,0.01,-0.04
134,-0.17,-0.09
135,0.04,0
136,0.02,0.08
137,-0.12,-0.1
138,0.08,0.1
139,-0.11,-0.08
140,-0.02,0.02
141,-0.36,-0.25
142,-0.08,-0.09
143,-0.23,-0.12
144,0.21,0.19
145,0.31,0.28
146,0.14,0.16
147,-0.08,-0.19
148,-0.11,0.02
149,-0.14,-0.13
150,-0.35,-0.23
