ID,Major,Folk,Country,Classical,Pop,Rock,Metal,Punk,HipHop,Reggae,Jazz,Latin,EDM,Opera
1,Performance,1,2,2,5,5,1,1,1,1,1,1,1,1
2,Performance,1,1,1,3,5,4,4,1,3,1,2,1,1
3,Performance,2,3,4,3,5,3,4,1,4,3,5,1,3
4,Performance,1,1,1,2,2,1,4,2,2,1,1,2,1
5,Production,3,2,4,5,3,1,2,5,3,2,4,2,2
6,Performance,3,2,3,2,5,5,3,4,3,4,3,1,3
7,Performance,3,1,2,5,3,1,1,3,1,1,3,5,2
8,Production,2,1,2,4,5,1,2,3,2,2,2,3,2
9,Production,1,1,2,3,5,5,1,1,2,2,1,1,1
10,Production,5,2,2,3,5,2,3,2,4,4,5,1,2
11,Performance,2,1,2,4,3,2,1,3,2,2,3,4,2
12,Production,1,1,4,2,5,1,1,1,1,2,2,1,2
13,Performance,2,1,4,3,5,4,2,3,1,1,2,1,2
14,Production,3,2,1,5,2,1,1,2,1,3,3,1,1
15,Performance,1,1,2,4,5,2,5,3,4,4,1,1,1
16,Production,2,3,4,3,5,5,5,2,4,2,2,1,2
17,Performance,1,1,1,4,4,1,3,2,3,2,1,4,1
18,Production,3,3,2,4,4,2,3,3,4,3,2,1,3
19,Performance,4,3,4,5,4,4,3,4,4,4,4,4,3
20,Production,3,2,4,2,4,5,2,1,4,5,4,3,2
21,Performance,2,3,4,2,5,5,4,4,3,5,3,3,4
22,Production,1,3,2,2,5,5,4,1,2,1,2,1,2
23,Performance,2,2,2,4,5,2,3,3,3,3,4,1,1
24,Production,1,1,4,3,5,5,5,1,1,1,2,3,4
25,Performance,2,1,2,5,1,1,1,3,1,2,4,2,1
26,Performance,5,4,5,4,4,3,2,2,1,3,5,2,2
27,Production,4,1,3,2,4,2,4,2,4,2,3,4,2
28,Performance,1,1,1,3,4,1,3,5,2,1,2,3,1
29,Performance,4,2,3,3,4,1,3,3,4,3,4,3,2
30,Performance,3,3,3,4,4,2,2,4,3,4,3,3,3
31,Performance,1,3,2,5,3,1,1,3,3,2,5,1,2
32,Production,1,3,2,3,4,3,4,4,2,2,2,3,1
33,Performance,2,3,4,4,3,1,1,1,3,4,2,1,5
34,Performance,2,1,3,4,5,3,4,2,3,3,2,1,1
35,Performance,3,1,4,5,3,1,1,4,3,1,5,1,1
36,Performance,3,2,3,4,4,1,1,1,1,1,1,1,4
37,Production,1,1,5,2,3,5,2,1,2,2,1,1,1
38,Production,3,1,5,5,4,1,2,4,5,2,3,4,4
39,Production,3,2,2,5,5,4,4,1,2,1,1,2,2
40,Production,1,1,1,5,1,1,1,3,2,1,2,3,1
41,Production,5,5,5,1,4,5,1,5,5,5,5,5,1
42,Performance,2,2,3,5,5,4,4,3,3,3,3,3,1
43,Performance,1,1,2,5,4,1,2,3,2,2,3,3,1
44,Performance,2,1,3,4,4,1,1,3,1,3,5,4,3
45,Performance,2,2,4,5,4,1,2,3,3,3,4,3,4
46,Production,3,4,1,5,5,3,2,5,2,3,5,2,2
47,Performance,1,1,2,4,4,2,2,1,3,3,3,2,3
48,Performance,1,1,1,3,2,1,2,5,5,2,4,2,1
49,Production,1,2,2,3,5,3,5,3,2,2,1,2,1
50,Production,4,2,5,5,5,2,4,4,4,3,5,1,2
51,Performance,3,1,4,5,4,3,2,2,4,4,5,3,2
52,Performance,5,5,5,5,5,4,2,5,5,5,5,2,5
53,Performance,4,3,4,4,3,2,2,3,3,3,5,2,5
54,Performance,5,3,5,5,5,4,3,3,3,4,5,4,5
55,Performance,2,2,4,4,3,3,2,4,3,3,4,5,3
56,Performance,2,3,4,4,5,1,4,2,3,4,1,1,4
57,Production,3,2,3,2,5,2,2,2,2,4,1,1,2
58,Production,3,2,3,5,1,1,1,2,2,1,3,3,1
59,Performance,1,2,3,3,4,3,5,3,3,4,1,4,3
60,Performance,2,2,4,4,4,1,3,2,3,3,2,1,3
61,Performance,1,2,4,4,4,1,2,3,2,3,4,4,3
62,Production,4,5,4,5,4,5,4,5,4,5,4,5,5
63,Production,1,1,1,4,5,1,3,2,1,2,3,2,2
64,Production,1,2,2,3,3,3,2,4,2,2,2,4,2
65,Production,2,2,2,5,3,4,3,3,3,3,4,5,1
66,Production,3,2,2,5,1,1,1,4,3,4,5,1,1
67,Production,2,1,2,3,5,5,5,1,5,4,2,4,2
68,Performance,1,1,1,5,4,1,1,1,1,1,4,1,2
69,Performance,2,2,2,5,3,1,1,5,2,3,2,3,1
70,Performance,3,1,4,4,1,1,1,4,4,1,1,3,1
71,Production,2,2,2,5,5,2,4,4,2,2,5,1,1
72,Production,2,2,2,5,2,1,2,5,2,2,4,3,1
73,Performance,1,4,5,2,1,1,1,5,4,1,1,2,4
74,Performance,4,4,3,1,5,4,4,3,5,4,4,1,2
75,Performance,1,2,2,5,4,2,1,4,2,2,5,5,1
76,Performance,2,4,1,5,3,1,1,4,5,5,5,4,2
77,Production,4,4,3,5,5,2,2,5,3,3,4,4,4
78,Production,2,2,2,4,5,2,3,4,4,3,5,3,2
79,Production,1,2,3,5,4,2,3,4,4,3,5,3,3
80,Performance,3,1,3,1,5,5,4,1,1,2,1,1,3
81,Performance,1,2,4,5,5,3,1,3,2,4,5,5,3
82,Performance,1,4,5,1,5,5,5,4,4,5,3,1,5
83,Performance,3,5,5,3,4,4,1,1,1,2,2,4,3
84,Production,3,3,3,4,5,3,3,4,3,3,2,3,3
85,Production,1,2,2,4,5,2,4,3,5,3,5,2,1
86,Production,1,1,5,5,5,1,1,1,1,5,5,5,1
87,Performance,2,1,4,3,5,3,3,1,2,4,2,1,3
88,Performance,2,1,3,3,4,1,3,1,3,1,1,1,1
89,Performance,3,4,4,2,3,1,2,1,3,5,3,1,4
90,Performance,5,5,4,4,3,3,3,1,1,5,1,1,4
91,Production,1,1,1,4,3,1,3,5,2,1,1,4,1
92,Production,2,2,4,3,3,1,2,5,5,4,3,2,2
93,Performance,1,1,1,2,4,5,4,3,1,1,1,4,1
94,Production,1,1,1,2,1,1,1,5,2,2,1,2,1
95,Production,1,1,1,3,5,2,1,1,3,2,5,3,1
96,Production,1,1,2,4,2,1,3,2,4,1,4,1,1
97,Performance,3,2,4,4,5,3,2,4,4,3,3,2,2
98,Performance,3,2,3,2,4,5,4,1,4,3,1,1,2
99,Performance,2,3,5,1,5,2,5,1,4,5,2,1,4
100,Performance,3,2,4,2,4,4,3,3,3,4,3,3,2
101,Performance,3,1,3,2,4,5,1,1,2,3,1,1,2
102,Production,4,5,5,4,5,1,2,4,4,4,5,3,4
103,Performance,2,1,4,2,4,4,3,2,1,1,2,2,3
104,Production,2,4,4,3,5,5,3,2,2,2,3,1,4
105,Performance,5,2,3,4,4,1,1,1,4,5,4,4,1
106,Performance,3,2,5,3,4,2,2,3,3,4,2,4,4
107,Production,2,2,4,3,3,2,2,1,3,4,5,4,1
108,Performance,1,1,3,4,4,1,3,2,2,2,1,1,4
109,Performance,2,2,5,5,5,2,2,3,3,3,5,3,2
110,Performance,2,2,2,3,5,1,2,1,1,2,2,1,1
111,Production,2,1,1,5,3,2,1,1,1,1,4,1,1
112,Performance,2,2,4,3,4,2,4,2,4,4,2,1,1
113,Performance,2,1,3,4,2,2,1,2,2,2,2,3,2
114,Performance,1,2,4,2,5,5,2,1,3,5,4,3,2
115,Production,3,4,2,4,4,2,2,4,2,2,1,3,1
116,Performance,2,2,5,1,5,2,4,1,3,4,3,1,3
117,Performance,3,3,3,3,5,3,1,3,1,5,3,1,3
118,Performance,3,2,3,2,4,3,3,2,4,5,3,2,2
119,Performance,1,1,3,4,4,1,4,4,1,1,1,1,1
120,Performance,3,4,4,4,4,3,3,3,4,3,2,3,3
121,Performance,1,5,5,5,5,5,1,2,3,1,5,5,2
122,Production,3,1,2,4,5,2,2,2,3,4,3,1,1
123,Performance,1,1,4,2,5,3,3,1,2,2,3,3,2
124,Performance,1,1,2,4,2,1,2,5,2,1,1,3,1
125,Performance,1,1,1,4,4,1,5,2,4,3,2,1,1
126,Production,4,1,4,1,3,1,1,1,2,5,3,1,3
127,Production,3,3,3,3,3,1,1,4,4,4,4,4,2
128,Production,1,3,5,3,5,4,4,3,5,4,1,1,3
129,Performance,3,2,3,4,3,1,1,5,1,1,1,1,3
130,Performance,3,3,5,5,4,2,2,4,3,5,4,2,2
131,Performance,3,3,4,2,1,1,1,3,3,4,3,1,2
132,Performance,3,2,3,5,4,1,2,5,3,4,2,3,2
133,Production,2,1,2,4,4,2,2,2,2,5,4,3,2
134,Performance,3,1,3,3,5,5,4,4,3,1,5,2,1
