Q9,Q30,Q7,Q1_6,Q1_7,Q1_8,Q2_1,Q2_2,Q2_3
9 years old,Less than 1 year,Guitar,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree
10 years old,Less than 1 year,Guitar,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree
9 years old,Less than 1 year,Guitar,Agree,Agree,Disagree,Agree,Agree,Agree
15 years old,Less than 1 year,Drums,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
9 years old,Less than 1 year,Piano/keyboard,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
12 years old,2-3 years,Guitar,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree
8 years old,Less than 1 year,Piano/keyboard,Agree,Disagree,Disagree,Agree,Agree,Agree
12 years old,Less than 1 year,Guitar,Agree,Agree,Disagree,Agree,Agree,Agree
9 years old,Less than 1 year,Guitar,Disagree,Disagree,Disagree,Agree,Disagree,Agree
15 years old,More than 5 years,Bass,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree
16 years old,2-3 years,Guitar,Agree,Agree,Agree,Agree,Agree,Agree
7 years old,Less than 1 year,Drums,Disagree,Disagree,Disagree,Disagree,Agree,Agree
12 years old,Less than 1 year,Guitar,Disagree,Disagree,Disagree,Disagree,Disagree,Agree
11 years old,Less than 1 year,Guitar,Disagree,Disagree,Disagree,Agree,Agree,Agree
15 years old,1-2 years,Guitar,Agree,Agree,Strongly Disagree,Agree,Agree,Agree
15 years old,Less than 1 year,Bass,Agree,Agree,Agree,Agree,Agree,Agree
12 years old,Less than 1 year,Guitar,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree
9 years old,Less than 1 year,Guitar,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree
7 years old,Less than 1 year,Guitar,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
12 years old,Less than 1 year,Vocal,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree
