PerformanceAnxiety,Perfectionism,SexType
2.71,1.9,Male
2.24,0.68,Male
2.5,0.91,Female
2.17,0.68,Female
1.94,2.05,Male
1.92,2.22,Female
2.53,-0.68,Female
3.89,0.11,Male
2.9,0.19,Male
2.81,-0.96,Male
1.88,0.2,Female
2.87,0.26,Male
2.95,-0.33,Male
1.84,0.77,Male
2.49,0.75,Female
1.65,0.27,Male
1.64,0.78,Female
2.94,-0.18,Male
2.72,2.16,Female
0.56,0.3,Female
2.6,0.54,Female
1.99,-1.16,Male
3.45,1.23,Male
3.12,0.05,Male
2.16,-0.78,Male
3.61,1.44,Male
2.86,-1.92,Male
2.32,1.05,Female
1.71,-1.05,Male
2.28,-0.38,Female
1.58,-1.02,Male
1.87,-0.27,Female
1.97,0.59,Female
0,0.96,Female
3.15,-0.02,Female
2.05,0.26,Male
2.26,-0.05,Male
1.97,0.27,Female
1.74,1.16,Female
2,1.26,Male
1.91,0.4,Male
1.75,-0.02,Female
0.52,-1.24,Male
2.67,-0.61,Female
2.69,1.12,Female
4,0.85,Male
2.49,-2.81,Female
2.99,0.04,Male
2.16,-1.82,Female
2.56,-2.79,Female
2.34,0.58,Male
2.6,0.88,Male
0.78,-0.11,Female
1.63,-0.23,Male
1.72,1.39,Male
1.05,-1.55,Male
2.91,0.69,Female
1.71,-0.22,Female
1.7,0.98,Female
2.69,0.25,Male
1.77,0.55,Female
2.31,0.57,Male
1.3,-0.11,Female
1.52,0.71,Male
3.07,-0.97,Female
1.97,-0.29,Female
2.19,-0.21,Female
1.81,0.52,Male
1.58,-1.32,Male
2.89,0.16,Male
0.58,-2.67,Male
1.6,0.21,Female
1.59,1.1,Female
1.66,-0.24,Female
2.09,0.96,Female
1.97,-1.38,Male
2.85,-0.04,Male
1.78,-0.45,Male
3.03,0.42,Male
0.62,-1.1,Female
1.73,-1.3,Female
2.37,0.87,Male
1.63,-2.32,Female
2.13,-1.59,Male
3.43,2.27,Male
1.82,-0.65,Male
1.7,-1.48,Male
1.84,0.59,Female
1.51,-1.11,Female
3.37,0.26,Male
2.23,-0.05,Male
0.89,-0.46,Female
1.71,-0.04,Female
2.35,-0.34,Female
2.31,-0.9,Female
1.57,0.97,Female
1.79,-1.05,Female
2.01,-0.41,Female
2.75,2.18,Female
3.16,0,Male
2.05,0.64,Male
3.07,0.2,Female
3.2,0.91,Male
1.56,-0.83,Male
2.13,-0.67,Female
1.86,-0.04,Female
2.11,1.42,Female
3.31,0.43,Male
2,0.79,Female
2.76,-0.97,Male
2.06,0.67,Male
1.32,-0.88,Male
1.91,0.67,Male
1.85,0.15,Female
2.37,0.68,Female
2.36,0.7,Female
2.1,0.44,Female
2.8,-0.53,Male
3.7,0.15,Male
3.65,0.97,Female
2.18,-0.27,Male
3.27,1.1,Male
3.03,0.51,Male
2.37,-0.12,Female
1.91,0.57,Female
2.4,-0.83,Female
2.41,0.54,Male
2.3,0.02,Female
1.96,0.8,Male
2.17,-1.53,Female
3.35,1.63,Male
1.97,-0.52,Female
2.9,-0.23,Female
2.24,-0.55,Male
2.84,-0.28,Male
1.85,-1.71,Female
2.17,-0.77,Female
2.32,-0.34,Female
1.66,1.39,Female
2.81,-1.96,Female
1.44,-0.78,Male
3.46,0.11,Female
3.44,-0.95,Female
2.01,-0.3,Female
2.55,0.58,Male
1.89,-0.57,Female
1.66,0.05,Male
2.8,-0.29,Male
1.78,-0.61,Female
2.51,-1.51,Female
