PerformanceOutcomes,VicariousExperiences,VerbalPersuasion,PhysiologicalFeedback
-0.05,-0.59,-1.55,-0.25
0.10,0.52,0.08,0.21
1.02,0.17,0.57,0.96
0.74,2.08,1.60,1.42
-0.25,2.55,2.15,0.96
1.93,-0.98,-0.35,1.57
2.38,-0.32,0.85,1.57
0.28,0.58,0.10,0.21
0.04,1.89,1.17,1.27
0.68,-0.03,-0.35,0.51
-1.14,1.62,0.96,-0.10
-1.62,-1.53,-1.54,-2.07
-1.46,-1.47,1.75,-1.46
0.24,2.10,0.28,0.96
-0.91,-1.52,-0.50,-1.31
0.56,-0.61,-0.95,0.05
-0.21,1.80,-0.73,1.11
2.20,-0.82,0.03,0.36
-0.98,0.87,-0.15,-0.55
-0.20,-0.28,1.74,-0.10
-0.23,-0.27,0.78,-0.25
0.76,-0.58,1.09,0.36
0.55,-0.43,0.75,-0.10
0.88,0.77,-0.57,0.96
-0.56,-0.42,-1.02,-0.25
-0.34,-1.18,-0.58,-0.70
-0.50,-0.34,-0.88,-0.85
0.54,1.13,-0.34,1.42
-0.04,-0.55,-0.14,0.36
0.85,1.75,1.33,1.11
0.09,-0.47,0.57,-0.55
-0.71,-0.08,-0.88,-0.55
-0.49,0.79,-1.50,0.51
-0.45,-0.69,-0.11,-0.55
-0.77,0.97,0.55,-0.55
-0.36,1.15,-0.89,0.21
0.01,0.08,-0.12,0.05
0.59,-0.81,0.35,0.66
0.94,0.08,1.32,0.81
0.76,2.27,0.52,1.72
-0.41,-0.08,1.80,-0.25
-0.06,2.15,-0.14,1.11
0.46,1.21,-1.59,0.96
-0.13,-1.60,-0.26,-1.01
0.90,0.25,1.52,0.66
1.28,0.17,0.18,1.72
-1.57,0.31,0.50,-1.31
-1.08,-0.14,0.46,-1.46
-0.12,-0.43,1.62,-0.25
1.93,-1.41,-1.54,0.66
-1.43,2.09,1.33,-0.10
-1.59,-1.04,-1.29,-1.91
0.35,1.15,0.34,0.51
-1.17,-1.32,-1.21,-1.91
1.21,1.07,1.77,1.72
-1.36,0.65,0.95,-0.40
-0.56,-0.63,-0.23,-0.70
-1.67,-0.04,-1.02,-1.31
0.93,0.44,-0.20,1.11
1.15,-0.44,-0.36,0.51
-0.82,-0.25,-1.03,-0.85
-0.15,0.11,-0.69,0.21
-1.10,1.97,0.38,0.21
-0.92,-1.46,-0.96,-1.31
0.83,-0.12,-0.52,-0.10
-0.96,-1.75,0.49,-1.31
-0.24,0.06,1.05,-0.55
2.99,1.39,1.15,2.63
0.94,0.67,1.26,0.66
-0.05,1.29,-1.42,0.81
-0.14,-1.62,-0.21,-0.85
0.23,0.64,0.43,0.51
0.35,1.45,0.92,0.81
0.46,-0.34,-0.08,0.21
-0.22,-1.18,0.02,-1.31
-0.48,-0.85,-1.30,0.05
-1.49,1.26,0.29,-0.85
-0.54,1.38,0.45,-0.10
-1.26,0.32,-0.29,-1.16
0.37,-0.38,0.49,-0.25
-0.74,-0.01,-0.44,-0.25
0.03,-1.15,1.32,-0.55
-1.56,-0.95,0.50,-1.46
-0.65,0.56,1.09,-0.40
-0.18,0.00,-0.39,-0.25
-0.23,-0.03,-0.89,-0.10
-0.62,0.65,-0.12,-0.10
1.31,-0.35,0.26,0.96
2.49,-0.56,-1.46,1.87
-0.84,0.18,-0.29,-0.40
1.21,1.69,0.65,2.33
1.44,1.45,1.64,1.72
-0.22,-0.94,-0.28,-0.70
0.44,1.16,2.80,1.27
-1.01,1.08,-1.60,-0.10
-1.16,-0.04,-0.26,-1.61
0.72,0.01,0.11,0.81
-0.17,-1.72,-0.15,-0.70
1.99,-0.13,1.25,1.57
0.04,-1.40,0.79,-0.70
1.13,0.86,1.50,0.96
0.13,-1.18,0.36,-0.25
-0.10,-0.27,-1.27,-0.25
-0.70,-0.28,-1.39,-0.55
0.56,-1.30,-0.35,-0.70
-1.70,-0.67,-1.43,-2.52
1.36,-0.21,-1.04,0.96
-1.44,-1.18,0.03,-1.91
1.58,1.41,0.10,1.72
1.40,0.35,0.78,0.66
0.53,-0.41,0.74,0.21
-0.19,-0.56,0.35,-0.85
0.18,-0.68,-1.53,-0.70
-1.52,-0.60,1.54,-1.16
-0.54,-0.28,-1.82,-0.55
-1.47,0.21,-0.80,-0.55
-1.27,-0.76,-0.21,-1.16
0.51,-0.85,1.76,-0.10
-0.65,-0.95,-0.63,-1.01
-1.03,-0.96,-0.96,-1.01
0.05,-0.35,-1.11,-0.25
-0.92,0.09,-1.19,-0.55
-0.78,0.43,-0.32,-0.10
2.01,0.55,1.05,2.48
-0.58,-1.29,-1.41,-0.70
0.76,-0.62,0.29,0.36
-0.69,-0.47,1.04,-0.70
-0.66,-0.50,-0.75,-0.10
-0.61,-1.01,-0.83,-0.40
-1.20,0.09,-0.31,-1.31
0.92,0.61,-1.52,0.81
0.05,-1.21,-1.56,-1.01
2.02,-0.65,-1.19,1.72
0.53,-0.19,-1.38,0.81
-0.27,0.96,0.40,-0.25
0.17,0.20,1.38,0.05
0.83,0.87,-0.46,0.51
-1.59,-0.72,0.46,-1.16
0.91,-1.54,-0.24,0.05
1.46,0.23,-0.96,1.11
-1.28,0.18,2.77,-1.31
0.63,-0.06,-0.46,0.66
0.40,-0.86,-0.68,0.36
-1.17,-0.95,-0.95,-1.16
-0.15,-1.15,0.50,-0.85
0.88,1.80,0.59,1.57
0.79,0.06,0.75,0.21
0.62,-1.30,-1.12,0.05
0.41,-1.05,-1.42,0.05
-1.51,1.34,0.62,-0.55
0.72,0.31,-0.08,0.36
-0.47,0.83,-0.76,0.05
1.21,1.49,0.11,1.72
-1.46,-0.50,0.30,-1.46
-0.80,-0.96,-0.24,-0.55
