Q30,Q9,Q7,Q1_6,Q1_7,Q1_8
1-2 years,13 years old,Guitar,Agree,Agree,Strongly Agree
Less than 1 year,16 years old,Drums,Disagree,Agree,Agree
2-3 years,13 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,10 years old,Drums,Agree,Agree,Disagree
Less than 1 year,8 years old,Drums,Disagree,Disagree,Disagree
1-2 years,10 years old,Drums,Disagree,Disagree,Disagree
1-2 years,9 years old,Drums,Strongly Agree,Strongly Agree,SA
Less than 1 year,10 years old,Piano/keyboard,Agree,Agree,Agree
Less than 1 year,14 years old,Piano/keyboard,Disagree,Disagree,Disagree
1-2 years,16 years old,Guitar,Disagree,Agree,Agree
Less than 1 year,8 years old,Guitar,Agree,Disagree,Disagree
Less than 1 year,8 years old,Guitar,Strongly Agree,Strongly Agree,Agree
Less than 1 year,8 years old,Drums,,Disagree,Disagree
Less than 1 year,8 years old,Drums,Disagree,Disagree,Disagree
Less than 1 year,13 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,7 years old,Guitar,Agree,Disagree,Disagree
Less than 1 year,11 years old,Guitar,Agree,Agree,Agree
Less than 1 year,10 years old,Guitar,Strongly Agree,Strongly Agree,Disagree
More than 5 years,13 years old,Guitar,Agree,Agree,Disagree
Less than 1 year,12 years old,Guitar,Disagree,Disagree,Disagree
1-2 years,9 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,7 years old,Drums,Strongly Agree,Disagree,Disagree
Less than 1 year,7 years old,Guitar,Agree,Strongly Agree,Strongly Agree
2-3 years,15 years old,Bass,Agree,Agree,Agree
Less than 1 year,14 years old,Guitar,Agree,Disagree,disagree
1-2 years,13 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,9 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,15 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,8 years old,Guitar,Agree,Agree,Agree
Less than 1 year,7 years old,Guitar,Disagree,Agree,Agree
Less than 1 year,7 years old,Guitar,,Agree,Agree
2-3 years,11 years old,Drums,Agree,Agree,Agree
Less than 1 year,17 years old,Guitar,Agree,Agree,Agree
Less than 1 year,12 years old,Guitar,Disagree,Disagree,Disagree
1-2 years,9 years old,Guitar,Agree,Strongly Agree,SA
1-2 years,13 years old,Guitar,Disagree,Disagree,Disagree
3-5 years,13 years old,Guitar,Strongly Agree,Strongly Agree,SA
Less than 1 year,13 years old,Drums,Strongly Agree,Strongly Agree,Strongly Agree
1-2 years,11 years old,Bass,Agree,Strongly Agree,Strongly Agree
1-2 years,15 years old,Guitar,99,99,99
1-2 years,15 years old,Guitar,Agree,Agree,Disagree
Less than 1 year,13 years old,Guitar,Strongly Agree,Strongly Agree,Strongly Agree
,,Guitar,Disagree,Disagree,Disagree
Less than 1 year,10 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,16 years old,Guitar,Disagree,Agree,Disagree
2-3 years,14 years old,Guitar,Strongly Agree,Strongly Agree,Strongly Agree
Less than 1 year,11 years old,Drums,Agree,Agree,Strongly Agree
More than 5 years,15 years old,Guitar,Agree,Agree,Disagree
1-2 years,14 years old,Guitar,Disagree,Agree,Disagree
Less than 1 year,12 years old,Drums,Disagree,Agree,Disagree
1-2 years,15 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,14 years old,Guitar,Agree,Agree,Agree
1-2 years,12 years old,Guitar,99,Agree,Disagree
1-2 years,12 years old,Guitar,Disagree,Agree,Disagree
Less than 1 year,11 years old,Guitar,Agree,Agree,Agree
Less than 1 year,12 years old,Piano/keyboard,Agree,Agree,Agree
1-2 years,16 years old,Piano/keyboard,Disagree,Strongly Agree,Agree
Less than 1 year,13 years old,Piano/keyboard,Disagree,Disagree,Agree
Less than 1 year,7 years old,Guitar,Strongly Agree,Agree,Agree
1-2 years,,Guitar,Disagree,Agree,Disagree
1-2 years,14 years old,Guitar,Disagree,Agree,Disagree
Less than 1 year,14 years old,Guitar,Agree,Agree,Agree
Less than 1 year,10 years old,Piano/keyboard,Agree,Agree,Agree
Less than 1 year,16 years old,Guitar,Strongly Agree,Agree,Agree
Less than 1 year,9 years old,Piano/keyboard,Agree,Agree,Agree
Less than 1 year,9 years old,Guitar,Disagree,Disagree,Agree
Less than 1 year,16 years old,Guitar,Disagree,Disagree,Disagree
1-2 years,17 years old,Guitar,Agree,Agree,Disagree
Less than 1 year,12 years old,Guitar,Strongly Disagree,Strongly Disagree,Strongly Disagree
Less than 1 year,14 years old,Drums,Disagree,Disagree,Disagree
Less than 1 year,7 years old,Guitar,Disagree,Agree,Disagree
1-2 years,15 years old,Drums,Disagree,Disagree,Disagree
Less than 1 year,12 years old,Piano/keyboard,Disagree,Agree,99
Less than 1 year,12 years old,Piano/keyboard,Disagree,Agree,Disagree
Less than 1 year,14 years old,Drums,Agree,Strongly Disagree,Agree
Less than 1 year,16 years old,Bass,Agree,Agree,Strongly Agree
1-2 years,7 years old,Drums,Agree,Agree,Disagree
Less than 1 year,7 years old,Other,Agree,Strongly Agree,Agree
Less than 1 year,15 years old,Drums,Agree,Agree,Agree
1-2 years,15 years old,Bass,Agree,Agree,Agree
Less than 1 year,7 years old,Guitar,Disagree,Disagree,Disagree
More than 5 years,8 years old,Guitar,Disagree,Agree,Disagree
Less than 1 year,8 years old,Drums,Agree,Strongly Agree,Strongly Agree
2-3 years,8 years old,Drums,Strongly Agree,Strongly Agree,Strongly Agree
Less than 1 year,9 years old,Guitar,Disagree,Disagree,Strongly Disagree
1-2 years,9 years old,Guitar,Agree,Agree,Agree
2-3 years,12 years old,Guitar,Strongly Agree,Agree,Agree
Less than 1 year,13 years old,Guitar,Disagree,Agree,Disagree
Less than 1 year,10 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,12 years old,Drums,Agree,Agree,Agree
1-2 years,10 years old,Drums,Disagree,Disagree,Disagree
1-2 years,11 years old,Drums,Agree,Agree,Agree
1-2 years,11 years old,Drums,Disagree,Agree,Disagree
Less than 1 year,9 years old,Bass,Disagree,Agree,Disagree
Less than 1 year,8 years old,Drums,Agree,Agree,Strongly Agree
Less than 1 year,10 years old,Guitar,Strongly Agree,Strongly Agree,Agree
1-2 years,9 years old,Guitar,Agree,Strongly Agree,Agree
Less than 1 year,12 years old,Guitar,Disagree,Disagree,Disagree
1-2 years,13 years old,Piano/keyboard,99,Strongly Agree,Strongly Agree
1-2 years,13 years old,Piano/keyboard,Strongly Agree,Strongly Agree,Strongly Agree
1-2 years,17 years old,Drums,Disagree,Agree,Agree
Less than 1 year,15 years old,Guitar,Agree,Agree,Agree
Less than 1 year,15 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,11 years old,Drums,Disagree,Disagree,Disagree
Less than 1 year,15 years old,Guitar,Agree,Strongly Agree,Disagree
1-2 years,15 years old,Other,Agree,Agree,Agree
Less than 1 year,9 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,14 years old,Guitar,Disagree,Disagree,Disagree
