ParentSalary,ParentEducation,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q2_4
"Over $100,000",College or beyond,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
"Over $100,000",College or beyond,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree
"Over $100,000",College or beyond,Agree,Agree,Disagree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree
"Over $100,000",College or beyond,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree
"$35,000 to $49,999",College or beyond,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Prefer not to answer,College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"$75,000 to $99,999",College or beyond,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree
"Over $100,000",College or beyond,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
Prefer not to answer,High school,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree
"$50,000 to $74,999",College or beyond,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree
Prefer not to answer,College or beyond,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
"Over $100,000",College or beyond,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree
"$75,000 to $99,999",College or beyond,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree
"Over $100,000",College or beyond,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"Over $100,000",College or beyond,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree
Prefer not to answer,High school,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree
"Over $100,000",College or beyond,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree
"$75,000 to $99,999",College or beyond,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree
"Over $100,000",College or beyond,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"Over $100,000",College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree
"$50,000 to $74,999",College or beyond,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree
Prefer not to answer,College or beyond,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
Prefer not to answer,College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree
"$75,000 to $99,999",College or beyond,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"$35,000 to $49,999",College or beyond,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"$50,000 to $74,999",College or beyond,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
"$50,000 to $74,999",College or beyond,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"$35,000 to $49,999",High school,Agree,Agree,Disagree,Agree,Agree,Agree,Agree
"$75,000 to $99,999",College or beyond,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree
"$75,000 to $99,999",Other/unknown,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
"$20,000 to $34,999",Other/unknown,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"$75,000 to $99,999",High school,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Prefer not to answer,College or beyond,Agree,Agree,Disagree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
"$75,000 to $99,999",High school,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree
"Over $100,000",College or beyond,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree
"Over $100,000",College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"$75,000 to $99,999",College or beyond,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"$75,000 to $99,999",College or beyond,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree
